Bets for period:;from 2024-09-30 | 19:00;to 2024-11-11 | 18:59;Number of transactions:;1604;;;;;
1567465812401;2024-11-10 | 19:54;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567465678787;2024-11-10 | 19:54;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567465579945;2024-11-10 | 19:54;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567465543763;2024-11-10 | 19:54;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;20.00;PHP;Real money
1567465318913;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567465253379;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567465151291;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567465056389;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464976397;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464884795;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464791055;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464712563;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464601997;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464533407;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;124.00;PHP;Real money
1567464224805;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464147513;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567464106421;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;15.00;PHP;Real money
1567463836621;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463744089;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463669873;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463635789;2024-11-10 | 19:53;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;20.00;PHP;Real money
1567463425733;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463345613;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463265379;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463227895;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567463099991;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567463062023;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;17.00;PHP;Real money
1567462865277;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567462780877;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567462732023;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;55.00;PHP;Real money
1567462384255;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567462288791;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567462226673;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;60.00;PHP;Real money
1567462033149;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567461926483;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567461883639;2024-11-10 | 19:52;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;13.00;PHP;Real money
1567461667121;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567461602133;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567461532455;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567461448553;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567461060267;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;19.00;PHP;Real money
1567460726955;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567460657987;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567460573753;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567460478779;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567460388473;2024-11-10 | 19:51;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567459336513;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;25.00;PHP;Real money
1567459218587;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567459145777;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567459025305;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567458955095;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567458836329;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567458722327;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567458671043;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;19.00;PHP;Real money
1567458410743;2024-11-10 | 19:50;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567456984099;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;19.00;PHP;Real money
1567456792933;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567456692187;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567456609557;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567456565033;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;22.00;PHP;Real money
1567456301765;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567456212521;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567456160603;2024-11-10 | 19:49;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;16.00;PHP;Real money
1567455879435;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567455831793;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;8.00;PHP;Real money
1567455678463;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567455616673;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567455477301;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567455373505;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567455313415;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567455153105;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567455107509;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;12.00;PHP;Real money
1567454900257;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567454863033;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;12.00;PHP;Real money
1567454678187;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567454622265;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;17.00;PHP;Real money
1567454386139;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567454274815;2024-11-10 | 19:48;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567454201631;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;44.00;PHP;Real money
1567453900225;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567453841053;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567453704913;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567453658843;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;4.00;PHP;Real money
1567453536503;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567453486983;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567453349455;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567453264279;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567453199977;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;29.00;PHP;Real money
1567452848907;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567452760147;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567452667373;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567452605425;2024-11-10 | 19:47;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;19.00;PHP;Real money
1567452264429;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567452182953;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567452055547;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451971515;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451917685;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.00;PHP;Real money
1567451796305;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451688521;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451610315;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451525673;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451432959;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451401545;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.00;PHP;Real money
1567451279399;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451200771;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451118757;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567451041447;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450963961;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450892085;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450815917;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450769939;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.00;PHP;Real money
1567450624177;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450570167;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567450446269;2024-11-10 | 19:46;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450373703;2024-11-10 | 19:45;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567450168053;2024-11-10 | 19:45;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;4.00;PHP;Real money
1567450121555;2024-11-10 | 19:45;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;344.00;PHP;Real money
1567446577387;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;400.00;PHP;Real money
1567445405257;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567445299689;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567445211137;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567445113329;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567445073635;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;6.00;PHP;Real money
1567444951301;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567444910339;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;12.00;PHP;Real money
1567444781311;2024-11-10 | 19:43;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567444614753;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;14.00;PHP;Real money
1567444340259;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567444226853;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567444127053;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567444023167;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567444000691;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567443872075;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443767415;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443719507;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;20.00;PHP;Real money
1567443585287;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443491925;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443400927;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443336609;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;6.00;PHP;Real money
1567443200651;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443116667;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567443037171;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567442958051;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567442863097;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567442756517;2024-11-10 | 19:42;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567442660315;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567442561269;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567442517533;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.00;PHP;Real money
1567442386731;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567441737179;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567441661157;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;4.00;PHP;Real money
1567441525259;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567441468259;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;16.00;PHP;Real money
1567441277653;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567441239523;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567441085901;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567441027825;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;13.00;PHP;Real money
1567440821431;2024-11-10 | 19:41;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567440695267;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567440652865;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;17.00;PHP;Real money
1567440436313;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567440375195;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;4.00;PHP;Real money
1567440236311;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567440177667;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567440034271;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439970245;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;10.00;PHP;Real money
1567439824363;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439750299;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439652529;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439573445;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439521375;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;12.00;PHP;Real money
1567439297299;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439192131;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567439170539;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.00;PHP;Real money
1567439048949;2024-11-10 | 19:40;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438932781;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438874997;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;21.00;PHP;Real money
1567438622603;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438549523;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438473363;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438404209;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438281885;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438198561;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567438160941;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;15.00;PHP;Real money
1567437893627;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567437839953;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567437698243;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567437657661;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;5.00;PHP;Real money
1567437530463;2024-11-10 | 19:39;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567436647373;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567436538605;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567436051365;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;9.00;PHP;Real money
1567435925647;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567435808715;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567435695017;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567435595003;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567435531669;2024-11-10 | 19:38;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;38.00;PHP;Real money
1567435188745;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567435091175;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567434993307;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567434920543;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;226.00;PHP;Real money
1567434446007;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567434418763;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;2.00;PHP;Real money
1567434298875;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567434217293;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567434129269;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567434085839;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;4.00;PHP;Real money
1567433958753;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433859439;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433773851;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433683751;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433640807;2024-11-10 | 19:37;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;24.00;PHP;Real money
1567433382555;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433300633;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433219339;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567433181827;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;48.00;PHP;Real money
1567432851079;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567432761705;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567432721029;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;117.00;PHP;Real money
1567432451491;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567432377287;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567432265857;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
1567432232873;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Payout;14.00;PHP;Real money
1567432047981;2024-11-10 | 19:36;1040783017;Slots;Barbara Bang;Yummy Bonanza;Bet;10.00;PHP;Real money
